                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.47569,                0.38344,                0.95549,                0.86604,                  0.875,                0.87774,                0.65357,                0.95686,                 0.5388,                 1.6879,               0.001189,               0.001189,               0.001189
                     91,                0.45621,                0.38788,                0.95106,                0.86271,                  0.875,                0.88059,                0.62179,                0.91646,                0.64603,                 1.5782,                0.00109,                0.00109,                0.00109
                     92,                0.46049,                0.39309,                0.96368,                0.85918,                  0.875,                 0.8786,                0.61539,                 1.0412,                0.58986,                 1.7115,               0.000991,               0.000991,               0.000991
                     93,                0.46377,                0.36352,                0.95761,                0.90982,                  0.875,                0.89485,                0.61565,                 1.0339,                0.61596,                 1.7203,               0.000892,               0.000892,               0.000892
                     94,                0.48918,                0.39397,                0.95565,                0.87463,                  0.875,                0.89399,                0.64603,                 1.1417,                0.52003,                 1.8835,               0.000793,               0.000793,               0.000793
                     95,                0.43215,                0.35574,                0.95348,                0.88921,                  0.875,                0.89399,                 0.6642,                 1.0722,                0.53754,                 1.7726,               0.000694,               0.000694,               0.000694
                     96,                0.49567,                0.38301,                0.99421,                0.88183,                  0.875,                0.89399,                0.65691,                 1.0379,                0.46471,                 1.7403,               0.000595,               0.000595,               0.000595
                     97,                0.45735,                0.36819,                0.96927,                0.91011,                  0.875,                0.89485,                 0.6668,                 1.0722,                0.44958,                 1.7832,               0.000496,               0.000496,               0.000496
                     98,                0.43029,                0.35456,                0.95002,                0.88787,                  0.875,                0.89684,                0.66355,                0.94984,                0.50637,                 1.5989,               0.000397,               0.000397,               0.000397
                     99,                0.44106,                 0.3429,                0.95529,                0.91325,                  0.875,                0.89684,                0.66791,                  1.115,                0.42857,                 1.8605,               0.000298,               0.000298,               0.000298
